,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_1_31,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_1_31,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_2_26,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_2_26,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_3_26,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_3_26,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_3_24,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_3_24,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_4_26,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_4_26
,precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad)
file,,,,,,,,,,
inference_69,0.7699999809265137,g,0.7400000095367432,g,0.8199999928474426,g,0.8299999833106995,g,0.8100000023841858,g
inference_70,0.6700000166893005,g,0.6299999952316284,g,0.5799999833106995,b,0.5899999737739563,b,0.6100000143051147,g
inference_71,0.8899999856948853,g,0.8799999952316284,g,0.9100000262260436,g,0.8000000119209291,g,0.8299999833106995,g
inference_72,0.20000000298023224,b,0.9100000262260436,g,0.3199999928474426,b,0.25999999046325684,b,0.6700000166893005,g
inference_73,0.9900000095367432,g,0.9700000286102296,g,0.9800000190734864,g,0.9900000095367432,g,0.9200000166893005,g
inference_74,0.3400000035762787,b,0.7900000214576721,g,0.5699999928474426,b,0.6299999952316284,b,0.10000000149011612,b
inference_75,1.0,g,1.0,g,1.0,g,1.0,g,0.9800000190734863,g
inference_76,0.8000000119209291,g,0.7699999809265137,g,0.8799999952316284,g,0.8399999737739563,g,0.800000011920929,b
inference_77,0.6700000166893005,g,0.8100000023841858,g,0.8500000238418579,g,0.8600000143051147,g,0.7599999904632568,g
inference_78,0.5199999809265137,b,0.7200000286102295,g,0.07000000029802322,b,0.059999998658895486,b,0.1899999976158142,b
inference_79,0.9100000262260436,g,0.9800000190734864,g,0.9800000190734864,g,0.9900000095367432,g,0.9300000071525574,g
inference_80,0.9900000095367432,g,0.959999978542328,g,0.9900000095367432,g,0.9800000190734864,g,0.8899999856948853,g
